"","Scientific_Name","Also_known_as","Genus","Family","Life_cycle","Origin","Habitat","Bloom_season","Plant_height","Wetland_Indicator_Status","Flower_shape_1","Leaf_attachment_1","Leaf_type_1","Fruit_type_1","Status","Cluster_type_1","Flower_shape_2","Cluster_type_2","Leaf_type_2","Fruiting_season","Leaf_attachment_2","Flower_shape_3","Fruit_type_2","Leaf_type_3","Leaf_type_4","Cluster_type_3","Flower_shape_4","Leaf_attachment_3"
"776","Geum canadense","","Geum","Rosaceae (Rose)","perennial","native","part shade, shade; thickets,  woods","May - July","1 to 3 feet","GP: FAC
MW: FAC
NCNE: FAC","5-petals","alternate","compound",NA,NA,NA,NA,NA,"palmate",NA,NA,NA,NA,"simple",NA,NA,NA,NA
"777","Geum laciniatum","","Geum","Rosaceae (Rose)",NA,"native","part shade, shade, sun; moist to wet; meadows,  thickets,  seeps,  flood plains","May - June","16 to 40 inches","GP: FACW
MW: FACW
NCNE: FACW","5-petals","alternate","compound","barbed",NA,"panicle",NA,NA,"lobed",NA,"basal",NA,"seed without plume","palmate","simple",NA,NA,NA
"778","Geum macrophyllum","","Geum","Rosaceae (Rose)","perennial","native","part shade, sun; moist woods,  meadows,  along streams","June - August","12 to 40 inches","GP: FACW
MW: FACW
NCNE: FACW","5-petals","alternate","compound","barbed",NA,"panicle",NA,NA,NA,NA,"basal",NA,"seed without plume",NA,NA,NA,NA,NA
"779","Geum rivale","Water Avens","Geum","Rosaceae (Rose)","perennial","native","part shade, shade, sun; wet; meadows,  fens,  swamps,  along streams and lakes","June - July","1 to 2 feet","GP: FACW
MW: OBL
NCNE: OBL","5-petals","alternate","compound","seed with plume",NA,NA,NA,NA,"lobed",NA,"basal",NA,NA,"palmate","simple",NA,NA,NA
"780","Geum triflorum","Old Man's Whiskers","Geum","Rosaceae (Rose)","perennial","native","sun; dry fields,  prairies","April - June","6 to 16 inches","GP: FACU
MW: FACU
NCNE: FACU","5-petals","basal","compound","seed with plume",NA,NA,"bell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781","Glechoma hederacea","Creeping Charlie, Gill-over-the-Ground","Glechoma","Lamiaceae (Mint)","perennial","Eurasia","part shade, shade; thickets,  disturbed soil,  lawns","April - June","5 to 8 inches","GP: FACU
MW: FACU
NCNE: FACU","irregular","opposite","simple","seed without plume","Weedy","whorled","tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782","Gleditsia triacanthos","","Gleditsia","Fabaceae (Pea)","perennial woody","native","sun; moist soil; rich woods,  urban landscapes","May - June","50 to 80 feet","GP: FACU
MW: FACU
NCNE: FAC","5-petals","alternate","compound","capsule/pod",NA,"raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783","Glyceria borealis","Small Floating Mannagrass","Glyceria","Poaceae (Grass)","perennial","native","sun; wet; shallow water,  streams,  ponds,  lakeshores,  wet ditches",NA,"2 to 5 feet","GP: OBL
MW: OBL
NCNE: OBL",NA,"alternate","simple","seed without plume",NA,"panicle",NA,"raceme",NA,"July - September","basal",NA,NA,NA,NA,NA,NA,NA
"784","Glyceria canadensis","","Glyceria","Poaceae (Grass)","perennial","native","part shade, sun; wet; swamps,  bogs,  shores,  wet woods",NA,"2 to 5 feet","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"panicle",NA,NA,NA,"July - October",NA,NA,NA,NA,NA,NA,NA,NA
"785","Glyceria grandis","Reed Mannagrass, Tall Manna Grass","Glyceria","Poaceae (Grass)","perennial","native","sun; wet; shallow water,  swamps,  marshes,  streams,  ponds,  lakeshores,  wet ditches",NA,"3 to 5 feet","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"panicle",NA,NA,NA,"July - September",NA,NA,NA,NA,NA,NA,NA,NA
"786","Glyceria striata","Pale Manna Grass","Glyceria","Poaceae (Grass)","perennial","native","part shade, sun; wet; shallow water,  swamps,  marshes,  streams,  ponds,  lakeshores,  wet ditches,  open woods",NA,"1 to 4 feet","GP: OBL
MW: OBL
NCNE: OBL","indistinct","alternate","simple","seed without plume",NA,"panicle",NA,NA,NA,"July - September",NA,NA,NA,NA,NA,NA,NA,NA
"787","Glycyrrhiza lepidota","American Licorice","Glycyrrhiza","Fabaceae (Pea)","perennial","native","sun; average to moist soil; fields,  prairies,  railroads,  roadsides,  creekbanks,  disturbed areas","June - July","12 to 40 inches","GP: FACU
MW: FACU
NCNE: FACU","irregular","alternate","compound","barbed",NA,"spike",NA,NA,NA,NA,NA,NA,"capsule/pod",NA,NA,NA,NA,NA
"788","Gnaphalium uliginosum","Marsh Cudweed","Gnaphalium","Asteraceae (Aster)","annual","Europe","part shade, sun; moist disturbed soil,  along shores,  wet meadows","June - September","2 to 10 inches","GP: FAC
MW: FAC
NCNE: FAC","indistinct","alternate","simple",NA,"Weedy","flat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"789","Goodyera pubescens","","Goodyera","Orchidaceae (Orchid)","perennial","native","part shade, shade; dry to average moisture,  oak-birch-aspen or pine forests","July - September","9 to 14 inches","GP: none
MW: FAC
NCNE: FACU","irregular","alternate","simple","capsule/pod",NA,"raceme",NA,NA,NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"790","Goodyera repens","Dwarf Rattlesnake Plantain","Goodyera","Orchidaceae (Orchid)","perennial","native","part shade, shade; coniferous swamps,  bogs,  forests; mixed forests","July - September","3 to 7 inches","GP: none
MW: FACU
NCNE: FACU","irregular","alternate","simple","capsule/pod",NA,"raceme",NA,NA,NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"791","Goodyera tesselata","Checkered Rattlesnake Plantain","Goodyera","Orchidaceae (Orchid)","perennial","native","part shade, shade; sandy coniferous or mixed forests,  Jack Pine stands","June - August","7 to 13 inches","GP: FACU
MW: FACU
NCNE: FACU","irregular","alternate","simple","capsule/pod",NA,"raceme",NA,NA,NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"792","Gratiola neglecta","Disk Hyssop","Gratiola","Plantaginaceae (Plantain)","annual","native","part shade, sun; wet meadows,  sandy or muddy shores","June - July","4 to 12 inches","GP: OBL
MW: OBL
NCNE: OBL","irregular","opposite","simple",NA,NA,NA,"tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793","Grindelia squarrosa","Curlycup Gumweed, Curly-top Gumweed","Grindelia","Asteraceae (Aster)","biennial, short-lived perennial","native","sun; disturbed soil; fields,  prairies,  along roads and railroads","July - October","6 to 36 inches","GP: UPL
MW: FACU
NCNE: FACU","7+petals","alternate","simple","seed without plume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794","Gymnocarpium dryopteris","Northern Oak Fern","Gymnocarpium","Dryopteridaceae (Wood Fern)","perennial","native","part shade, shade; cool,  moist soil; coniferous and mixed forest,  talus slopes",NA,"4 to 15 inches","GP: FACU
MW: FAC
NCNE: FACU",NA,"whorl","compound","spores on leaf",NA,NA,NA,NA,NA,"summer",NA,NA,NA,NA,NA,NA,NA,NA
"795","Gymnocarpium jessoense","","Gymnocarpium","Dryopteridaceae (Wood Fern)","perennial","native","part shade, shade, sun; cool cliffs,  talus slopes",NA,"4 to 15 inches","none",NA,"whorl","compound","spores on leaf",NA,NA,NA,NA,NA,"summer",NA,NA,NA,NA,NA,NA,NA,NA
"796","Gymnocarpium robertianum","Limestone Oak Fern","Gymnocarpium","Dryopteridaceae (Wood Fern)","perennial","native","part shade, shade; cool,  coniferous or mixed forest,  cedar swamps,  talus slopes",NA,"4 to 18 inches","GP: FACU
MW: FACU
NCNE: FACU",NA,"whorl","compound","spores on leaf","State Special Concern",NA,NA,NA,NA,"summer",NA,NA,NA,NA,NA,NA,NA,NA
"797","Gymnocladus dioicus","","Gymnocladus","Fabaceae (Pea)","perennial woody","native","sun; moist; rich woods,  floodplains,  urban landscapes","May - June","50 to 70 feet","none","5-petals","alternate","compound","capsule/pod","State Special Concern","raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"798","Gypsophila muralis","Wall Baby's Breath, Annual Gypsophila","Gypsophila","Caryophyllaceae (Pink)","annual","Europe","part shade, sun; dry,  sandy or gravelly soil; lawns,  gardens,  sidewalk cracks,  waste areas,  roadsides,  railroads","July - September","2 to 12 inches","none","5-petals","opposite","simple","capsule/pod","Weedy","panicle","tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"799","Gypsophila paniculata","Panicled Baby's-breath, Tall Baby's Breath","Gypsophila","Caryophyllaceae (Pink)","perennial","Europe, Asia","sun; dry sandy or gravelly soil; roadsides,  railroads,  waste areas,  dunes","July - September","1 to 3 feet","none","5-petals","opposite","simple","capsule/pod","Invasive - ERADICATE!","panicle","bell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800","Hackelia deflexa","American Stickseed","Hackelia","Boraginaceae (Borage)","annual","native","part shade, shade, sun; average to moist woods,  thickets","May - July","2 to 3 feet","none","5-petals","alternate","simple","barbed",NA,"raceme",NA,NA,NA,NA,"basal",NA,"capsule/pod",NA,NA,NA,NA,NA
"801","Hackelia virginiana","Beggar's-lice, Sticktight","Hackelia","Boraginaceae (Borage)","annual, biennial","native","part shade, shade; upland woods,  thickets","June - August","2 to 3 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","alternate","simple","barbed",NA,"raceme",NA,NA,NA,NA,"basal",NA,"capsule/pod",NA,NA,NA,NA,NA
"802","Halenia deflexa","Green Gentian","Halenia","Gentianaceae (Gentian)","perennial","native","part shade, shade; moist woods,  mossy conifer forests,  bogs","July - August","6 to 30 inches","GP: FAC
MW: FAC
NCNE: FAC","4-petals","basal","simple","capsule/pod",NA,"whorled",NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"803","Hamamelis virginiana","","Hamamelis","Hamamelidaceae (Witch Hazel)","perennial woody","native","part shade, shade; deciduous forest,  forest edges,  wooded slopes","September - November","6 to 20 feet","GP: FAC
MW: FACU
NCNE: FACU","4-petals","alternate","simple","capsule/pod","State Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"804","Hasteola suaveolens","","Hasteola","Asteraceae (Aster)","perennial","native","part shade, sun; moist to wet; wet meadows,  stream and riverbanks,  marsh edges,  fens,  floodplain forest","July - August","3 to 5 feet","none","indistinct","alternate","simple","seed with plume","State Endangered","flat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"805","Hedeoma hispida","Mock Pennyroyal","Hedeoma","Lamiaceae (Mint)","annual","native","sun; dry sandy or rocky soil; prairies,  along roads,  railroads,  waste areas,  outcrops,  gravel pits","May - August","3 to 16 inches","none","irregular","opposite","simple","seed without plume",NA,"whorled","tubular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"806","Helenium autumnale","Common Sneezeweed, Sneezewort, Swamp Sunflower","Helenium","Asteraceae (Aster)","perennial","native","sun; moist fields,  swamps,  along shores","August - October","2 to 5 feet","GP: FACW
MW: FACW
NCNE: FACW","7+petals","alternate","simple","seed without plume",NA,"panicle",NA,NA,NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"807","Helianthus annuus","","Helianthus","Asteraceae (Aster)","annual","native","sun; disturbed soil,  roadsides,  fields,  waste areas","August - October","3 to 7 feet","GP: FACU
MW: FACU
NCNE: FACU","7+petals","alternate","simple",NA,NA,NA,NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"808","Helianthus giganteus","Tall Sunflower, Swamp Sunflower","Helianthus","Asteraceae (Aster)","perennial","native","sun; moist woods,  marshes,  swamps","July - September","4 to 10 feet","GP: FAC
MW: FACW
NCNE: FACW","7+petals","alternate","simple","seed without plume",NA,NA,NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"809","Helianthus grosseserratus","","Helianthus","Asteraceae (Aster)","perennial","native","sun; moist fields,  prairies,  ditches,  roadsides","July - October","2 to 10 feet","GP: FACW
MW: FACW
NCNE: FACW","7+petals","alternate","simple","seed without plume",NA,"panicle",NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"810","Helianthus maximiliani","","Helianthus","Asteraceae (Aster)","perennial","native","sun; sandy soil,","July - October","2 to 10 feet","GP: FACU
MW: UPL
NCNE: UPL","7+petals","alternate","simple","seed without plume",NA,NA,NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"811","Helianthus nuttallii","","Helianthus","Asteraceae (Aster)","perennial","native","sun; moist to wet; prairies,  swales,  sedge meadows","August - September","3 to 8 feet","GP: FACW
MW: FACW
NCNE: FACW","7+petals","alternate","simple","seed without plume","State Special Concern",NA,NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"812","Helianthus occidentalis","Naked-stem Sunflower, Western Sunflower","Helianthus","Asteraceae (Aster)","perennial","native","sun; dry sandy or rocky soil; fields,  prairies,  open woods","July - September","2 to 5 feet","GP: FACU
MW: FACU
NCNE: FACU","7+petals","basal","simple","seed without plume",NA,NA,NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"813","Helianthus pauciflorus","Prairie Sunflower, Few-leaved Sunflower","Helianthus","Asteraceae (Aster)","perennial","native","sun; average to dry prairies,  roadsides,  along railroads","July - September","2 to 6 feet","none","7+petals","opposite","simple","seed without plume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"814","Helianthus petiolaris","Plains Sunflower","Helianthus","Asteraceae (Aster)","annual","native","sun; dry sandy soil,  prairies,  along roads","June - September","1 to 4 feet","none","7+petals","alternate","simple","seed without plume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"815","Helianthus strumosus","Pale-leaved Sunflower","Helianthus","Asteraceae (Aster)","perennial","native","part shade, sun; open woods,  woodland edges,  roadsides","July - September","2 to 6 feet","GP: FACU
MW: FACU
NCNE: FACU","7+petals","alternate","simple","seed without plume",NA,NA,NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"816","Helianthus tuberosus","","Helianthus","Asteraceae (Aster)","perennial","native","part shade, sun; moist fields,  thickets,  edges of woods","August - October","3 to 10 feet","GP: FACU
MW: FACU
NCNE: FACU","7+petals","alternate","simple","seed without plume",NA,NA,NA,NA,NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"817","Heliopsis helianthoides","Common Ox-eye, False Sunflower, Sunflower Heliopsis","Heliopsis","Asteraceae (Aster)","perennial","native","part shade, sun; prairies,  along roads,  railroads,  edges of woods,  thickets","June - September","2 to 6 feet","GP: FACU
MW: FACU
NCNE: FACU","7+petals","opposite","simple","seed without plume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818","Hemerocallis fulva","Orange Daylily","Hemerocallis","Liliaceae (Lily)","perennial","Asia","part shade, sun; fields,  along roads and streams","June - August","2 to 5 feet","GP: FACU
MW: UPL
NCNE: UPL","6-petals","basal","simple",NA,"Invasive - ERADICATE!","panicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819","Heracleum maximum","American Cow-parsnip","Heracleum","Apiaceae (Carrot)","perennial","native","part shade, sun; moist fields,  thickets,  streambanks","May - July","4 to 10 feet","GP: FAC
MW: FACW
NCNE: FACW","5-petals","alternate","compound","seed without plume",NA,"flat",NA,NA,"lobed",NA,NA,NA,NA,"palmate",NA,NA,NA,NA
"820","Hesperis matronalis","","Hesperis","Brassicaceae (Mustard)","biennial, short-lived perennial","Europe","part shade, shade, sun; moist woods,  woodland edges,  meadows,  ditches","May - July","2 to 4 feet","GP: FACU
MW: FACU
NCNE: FACU","4-petals","alternate","simple","capsule/pod","Invasive - ERADICATE!","panicle",NA,"raceme",NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"821","Hesperostipa comata","","Hesperostipa","Poaceae (Grass)","perennial","native","sun; dry sandy soil; prairies,  grasslands,  open woods",NA,"12 to 40 inches","none","indistinct","alternate","simple","seed without plume",NA,"panicle",NA,"raceme",NA,"July - August","basal",NA,NA,NA,NA,NA,NA,NA
"822","Hesperostipa spartea","Needlegrass","Hesperostipa","Poaceae (Grass)","perennial","native","sun; dry sandy or gravelly soil; open prairie",NA,"2 to 4 feet","none","indistinct","alternate","simple","seed without plume",NA,"panicle",NA,NA,NA,"spring","basal",NA,NA,NA,NA,NA,NA,NA
"823","Heteranthera dubia","Grass-leaf Mud-plantain","Heteranthera","Pontederiaceae (Water Hyacinth)","perennial","native","sun; quiet waters,  sandy or muddy shorelines and flats,  stream banks","July - October","1 to 2 inches (terrestrial)","GP: OBL
MW: OBL
NCNE: OBL","6-petals","alternate","simple",NA,NA,NA,NA,NA,NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"824","Heteranthera limosa","Ducksalad","Heteranthera","Pontederiaceae (Water Hyacinth)","annual","native","part shade, sun; wet; muddy shores,  shallow quiet water,  vernal pools of rock outcrops","July - August","2 to 6 inches","GP: OBL
MW: OBL
NCNE: OBL","6-petals","basal","simple","capsule/pod","State Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825","Heterotheca villosa","Hairy Golden-aster","Heterotheca","Asteraceae (Aster)","perennial","native","sun; dry sandy soil,  fields,  waste areas,  along roads","June - October","8 to 20 inches","none","7+petals","alternate","simple","seed with plume",NA,"panicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826","Heuchera richardsonii","Richardson's Alumroot","Heuchera","Saxifragaceae (Saxifrage)","perennial","native","part shade, sun; fields,  prairies,  edges of woods","May - July","1 to 2 feet","GP: FACU
MW: FACU
NCNE: FACU","irregular","basal","lobed","capsule/pod",NA,"panicle","tubular","raceme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827","Hibiscus laevis","Smooth Rose Mallow","Hibiscus","Malvaceae (Mallow)","perennial","native","sun; marshes,  shallow water","July - September","3 to 6 feet","GP: OBL
MW: OBL
NCNE: OBL","5-petals","alternate","lobed","capsule/pod",NA,NA,NA,NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"828","Hibiscus trionum","","Hibiscus","Malvaceae (Mallow)","annual","Europe","sun; fields,  roadsides,  waste areas","July - September","4 to 24 inches","none","5-petals","alternate","compound","capsule/pod","Weedy",NA,NA,NA,"lobed",NA,NA,NA,NA,"palmate",NA,NA,NA,NA
"829","Hieracium aurantiacum","Devil's Paintbrush","Hieracium","Asteraceae (Aster)","perennial","Europe","part shade, sun; dry fields,  along roads,  disturbed soil","June - October","6 to 24 inches","none","7+petals","alternate","simple","seed with plume","Invasive - ERADICATE!
Noxious Weed","flat",NA,NA,NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"830","Hieracium caespitosum","Yellow King-devil, Field Hawkweed","Hieracium","Asteraceae (Aster)","perennial","Europe","sun; open fields,  roadsides,  disturbed soil,  high grade prairie","June - August","1 to 3 feet","none","7+petals","alternate","simple",NA,"Invasive - ERADICATE!","flat",NA,NA,NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"831","Hieracium longipilum","Long-bearded Hawkweed","Hieracium","Asteraceae (Aster)","perennial","native","sun; dry sandy soil; prairies open woods,  roadsides","July - September","2 to 5 feet","none","7+petals","alternate","simple","seed with plume",NA,"panicle",NA,"raceme",NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"832","Hieracium pilosella","","Hieracium","Asteraceae (Aster)","perennial","Europe","part shade, sun; moist to dry sandy or rocky soil; roadsides,  railroads,  gravel pits,  fields,  lawns","June - September","4 to 12 inches","none","7+petals","basal","simple","seed with plume","Invasive - ERADICATE!",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"833","Hieracium piloselloides","Tall Hawkweed, King-devil Hawkweed","Hieracium","Asteraceae (Aster)","perennial","Europe","part shade, sun; open fields,  roadsides,  disturbed soil,  high grade prairie","June - August","12 to 40 inches","none","7+petals","alternate","simple",NA,"Invasive - ERADICATE!","flat",NA,"panicle",NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"834","Hieracium scabrum","Rough Hawkweed","Hieracium","Asteraceae (Aster)","perennial","native","part shade, sun; dry sandy soil; open woods and woodland edges","July - September","1 to 3 feet","none","7+petals","alternate","simple",NA,NA,"panicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835","Hieracium umbellatum","Rough Hawkweed, Northern Hawkweed","Hieracium","Asteraceae (Aster)","perennial","native","part shade, sun; sandy soil; fields,  beaches,  open woods and woodland edges","June - September","1 to 5 feet","none","7+petals","alternate","simple","seed with plume",NA,"panicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"836","Hippuris vulgaris","Common Mare's-tail","Hippuris","Plantaginaceae (Plantain)","perennial","native","part shade, sun; wet; rivers,  streams,  lakes,  marshes,  wet ditches","June - August","4 to 24 inches","GP: OBL
MW: OBL
NCNE: OBL","indistinct","whorl","simple","capsule/pod",NA,"whorled",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837","Hordeum jubatum","Squirrel-tail Grass, Squirrel-tail Barley","Hordeum","Poaceae (Grass)","short-lived perennial","native","sun; average to moist soil; roadsides,  waste places,  fields,  marsh edges,  sloughs",NA,"8 to 24 inches","GP: FACW
MW: FAC
NCNE: FAC","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August",NA,NA,NA,NA,NA,NA,NA,NA
"838","Hordeum pusillum","","Hordeum","Poaceae (Grass)","annual","native","sun; dry gravelly soil; rock outcrops,  roadsides,  railroads,  waste places,  grasslands,  marsh edges",NA,"4 to 16 inches","GP: FACU
MW: FAC
NCNE: FAC","indistinct","alternate","simple","seed without plume",NA,"spike",NA,NA,NA,"June - August",NA,NA,NA,NA,NA,NA,NA,NA
"839","Houstonia longifolia","Long-leaf Houstonia, Long-leaf Summer Bluet","Houstonia","Rubiaceae (Madder)","perennial","native","part shade, sun; moist to dry rocky or sandy soil; prairies,  savannas,  open woods,  rock outcrops","June - August","3 to 10 inches","none","4-petals","basal","simple","capsule/pod",NA,"flat","tubular","panicle",NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"840","Hudsonia tomentosa","Woolly Beach-heather, False Heather, Woolly Hudsonia, Poverty Grass","Hudsonia","Cistaceae (Rockrose)","perennial woody","native","sun; dunes,  pine barrens,  sandy beaches","May - July","4 to 8 inches","none","5-petals","alternate","simple",NA,"State Threatened",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841","Humulus japonicus","","Humulus","Cannabaceae (Hemp)","annual","Asia","part shade, shade, sun; disturbed soils; roadsides,  fencerows,  waste places,  river and stream banks,  woodland edges","July - August","3 to 20+ foot vine","GP: FACU
MW: FACU
NCNE: FACU","5-petals","opposite","lobed","seed without plume","Invasive - ERADICATE!
Noxious Weed","panicle","indistinct","spike","simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"842","Humulus lupulus","American Hops","Humulus","Cannabaceae (Hemp)","perennial","native","part shade, sun; average to moist soil; woodland edges,  thickets,  fencerows,  floodplains,  riverbanks","July - August","3 to 25 feet","GP: FACU
MW: FACU
NCNE: FACU","5-petals","opposite","lobed","seed without plume",NA,"panicle","indistinct","raceme","simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"843","Huperzia appalachiana","Mountain Fir-moss","Huperzia","Lycopodiaceae (Clubmoss)","perennial","native","part shade, shade; moist; rock crevices and ledges,  talus slopes",NA,"2 to 4 inches","none",NA,"alternate","simple","spores_on_leaf","State Special Concern",NA,NA,NA,NA,"summer to early fall","whorl",NA,NA,NA,NA,NA,NA,NA
"844","Huperzia lucidula","Shining Clubmoss","Huperzia","Lycopodiaceae (Clubmoss)","perennial","native","part shade, shade, sun; average to wet soil; conifer,  mixed or hardwood forest,  shaded slopes,  bogs,  conifer swamps",NA,"5 to 8 inches","GP: FACW
MW: FACW
NCNE: FAC",NA,"alternate","simple","spores_on_leaf",NA,NA,NA,NA,NA,"summer to early fall","whorl",NA,NA,NA,NA,NA,NA,NA
"845","Huperzia porophila","Rock Clubmoss","Huperzia","Lycopodiaceae (Clubmoss)","perennial","native","part shade, shade; moist; shaded rock crevices and ledges,  cliffs,  bluffs,  talus slopes",NA,"4 to 6 inches","GP: none
MW: FACU
NCNE: FACU",NA,"alternate","simple","spores_on_leaf","State Threatened",NA,NA,NA,NA,"summer to early fall","whorl",NA,NA,NA,NA,NA,NA,NA
"846","Huperzia selago","Fir Clubmoss, Mountain Clubmoss","Huperzia","Lycopodiaceae (Clubmoss)","perennial","native","part shade, shade, sun; moist to wet sandy or rocky soil; conifer swamps,  borrow pits,  mossy banks,  moss-covered rocks,  shaded cliffs",NA,"3 to 5 inches","GP: none
MW: FACU
NCNE: FACU",NA,"alternate","simple","spores_on_leaf",NA,NA,NA,NA,NA,"summer to early fall","whorl",NA,NA,NA,NA,NA,NA,NA
"847","Hybanthus concolor","","Hybanthus","Violaceae (Violet)","perennial","native","shade; average moisture; rich deciduous forest,  wooded slopes,  floodplains,  ravines","May","12 to 30 inches","GP: none
MW: FACU
NCNE: FACU","bell","alternate","simple","capsule/pod","State Endangered",NA,"irregular",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"848","Hydrastis canadensis","","Hydrastis","Ranunculaceae (Buttercup)","perennial","native","part shade, shade; rich woods,  ravines,  thickets","May","6 to 20 inches","none","indistinct","alternate","lobed","berry/drupe","State Endangered",NA,NA,NA,"simple",NA,"basal",NA,NA,NA,NA,NA,NA,NA
"849","Hydrocotyle americana","American Marsh-pennywort","Hydrocotyle","Araliaceae (Ginseng)","perennial","native","shade, sun; marshes,  swamps,  forest floodplains,  seeps","May - August","2 to 10 inches","GP: none
MW: OBL
NCNE: OBL","5-petals","alternate","simple","seed without plume","State Special Concern","flat",NA,NA,NA,NA,"basal",NA,NA,NA,NA,NA,NA,NA
"850","Hydrocotyle ranunculoides","Buttercup Pennywort, Floating Marsh-pennywort, Water Pennywort","Hydrocotyle","Araliaceae (Ginseng)","perennial","native","part shade, sun; marshes,  ponds,  lake edges,  slow moving water","September","4 to 12 inches","GP: OBL
MW: OBL
NCNE: OBL","5-petals","basal","simple",NA,NA,"round",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"851","Hydrophyllum appendiculatum","Great Waterleaf","Hydrophyllum","Boraginaceae (Borage)","perennial","native","part shade, shade; rich woods","May - June","1 to 2 feet","none","5-petals","alternate","lobed",NA,NA,"panicle","bell",NA,"simple",NA,NA,NA,NA,NA,NA,NA,NA,NA
"852","Hydrophyllum virginianum","Eastern Waterleaf","Hydrophyllum","Boraginaceae (Borage)","perennial","native","part shade, shade; moist woods,  floodplains","May - June","12 to 30 inches","GP: FAC
MW: FAC
NCNE: FAC","5-petals","alternate","lobed",NA,NA,"round","bell",NA,"simple",NA,NA,"tubular",NA,NA,NA,NA,NA,NA
"853","Hylotelephium telephium","Live-forever, Witch's Moneybags","Hylotelephium","Crassulaceae (Stonecrop)","perennial","Europe, Asia","part shade, sun; disturbed soil; roadsides,  old fields,  waste places,  ditches,  gardens,  swamp margins,  woodland edges","July - September","8 to 36 inches","none","5-petals","alternate","simple","capsule/pod","Weedy","flat",NA,"panicle",NA,NA,"opposite",NA,NA,NA,NA,NA,NA,NA
"854","Hypericum ascyron","Giant St. John's-wort","Hypericum","Hypericaceae (St. John's-wort)","perennial","native","sun; moist; along shores,  wet meadows,  thickets","July - August","2 to 5 feet","GP: none
MW: FAC
NCNE: FAC","5-petals","opposite","simple","capsule/pod",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
